ACN,date,quadrant,precursor_score,if_score,spc_flag,Events | Anomaly,component_fatigue,component_comm_breakdown,component_near_miss,component_procedure_deviation,component_urgency,Aircraft 1 | Flight Phase,topic_label,narrative_preview
1979746,2023-03-01,ORANGE,0.825,0.440053280813714,1,"Aircraft Equipment Problem Less Severe; Conflict Ground Conflict, Critical; Deviation / Discrepancy - Procedural Landing Without Clearance; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy",4,1,3,1,2,Landing,3_runway_aircraft_traffic_on,"I was Pilot monitoring and had just switched frequencies from approach to tower. Visibility was 5 miles in haze, and we were able to see the runway just outside of the FAF (ZZZZZ, RNAV XX). I checked in with tower and we're subsequently cleared to land. I illuminated the landing lights and the PF (P"
1780276,2020-12-01,ORANGE,0.8,0.22735321855481794,1,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Taxiway,4,2,1,1,2,Climb; Descent; Taxi,-1_the_to_and_was,"I wanted to take a few minutes to relate to you my personal experiences during the events that transpired.  We were at the tail end of a lengthy four day trip, with the usual holiday related challenges; weather, maintenance, crew-placarding, lengthy sit times, de-icing etc. On the third day of the t"
1958821,2022-12-01,ORANGE,0.8,0.591901126228432,1,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,2,0,2,3,2,Cruise,9_drone_the_was_it,"As the Remote Pilot in Command (RPIC) on the date(s) of the incident I was operating a recently acquired DJI Mavic 3 Enterprise, which has a weight of approximately 2 pounds. It was daytime, sunny, very little wind, and partly cloudy skies.I have used FAA DroneZone successfully in the past so as soo"
1891032,2022-04-01,ORANGE,0.775,0.5566154204313356,1,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,1,1,2,2,2,Cruise,22_sector_aircraft_to_sectors,"At approximately XA:05AM local time on Date I arrived at work and saw on our overhead weather display that there was a solid line of extreme precipitation that cut straight through the middle of our specialty West to East moving Eastward. Furthermore, as everyone in our area and management knew well"
1762721,2020-09-01,ORANGE,0.75,0.020622698904790737,1,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,1,3,1,2,2,Cruise,-1_the_to_and_was,"Due to weather and a supposed power outage at the airport, we were delayed approximately 1 hour from our scheduled departure time. This was the start of leg 2 for the day as we already operated out of ZZZ. There was another issue I will discuss after the conclusion of our [priority handling] event. "
1569469,2018-08-01,ORANGE,0.725,0.25857675644673417,1,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,4,0,2,2,1,Climb,-1_the_to_and_was,"Between scheduled days off, a short medical issue, and sitting R1 waiting for an assignment, I'd been off duty for 2-3 weeks prior to this event. Additionally, due to heavy crew flights I hadn't been up front for a departure in almost a month. Prior to the flight I realized I wasn't the most current"
1725216,2020-02-01,ORANGE,0.725,0.42955877616417504,1,"Conflict Ground Conflict, Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence",2,0,2,1,3,Parked,-1_the_to_and_was,"On Day 2 of a 3 Day Trip, we experienced an irregular operation on our second leg, flight ZZZ-ZZZ1. The weather in ZZZ1 had deteriorated to sub-CAT 1, with low ceiling, low visibility and reports of moderate icing in the ZZZ1 terminal area. We prepared for an autoland approach to Runway XX. While es"
1737621,2020-03-01,ORANGE,0.725,0.20101434901430282,1,Deviation / Discrepancy - Procedural Published Material / Policy,4,0,2,2,1,Climb,0_engine_the_and_we,"On climbout from ZZZ, at approximately 13,300 feet the Cabin Altitude Warning horn sounded and the Cabin Warning light illuminated. As the PF, I immediately disengaged the autothrottles, began to level off and informed the FO that 'I had the radios.' I then called ATC and told them I needed to level"
1932078,2022-09-01,ORANGE,0.725,0.046383702794046355,1,"ATC Issue All Types; Conflict Ground Conflict, Critical; Ground Incursion Runway",2,2,1,2,0,Landing,-1_the_to_and_was,Having received a landing clearance the transition from ILS DME2 Runway 14 to a visual approach was continued. Captain was Flying Pilot. 1000 ft. stable call was made. At about 600 ft. I asked the FO (First Officer) 'Is that paint on the runway?' Slight hesitation and I think the answer was somethin
1584265,2018-10-01,ORANGE,0.7,0.23198118208210072,1,Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,4,1,1,1,2,Takeoff / Launch,20_frequency_to_and_the,"The Captain and I were getting ready to push on leg 4/4, [out of SJC], on what had become a pretty long day. The pushback crew was trying to establish communication; the Ops Agent had just given us our [information] sheet which said we had like 25 minutes left to get airborne without a waiver. We ha"
